Date,Age.day,Set,Stimulus,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con.avg,Con.median,Con.range,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC.avg,NC.median,NC.range,meanLtoH,medianLtoH,rangeLtoH
20180621,4,22,M-only,C159,2,23,37,23.62,0,0,0,0,15,15,29,29,29,29,NA,1,All H,1,0.066666667,NA,0.07,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,93,93,0,93,93,0
20180628,4,33,M-only,C224,2,20,45,20.75,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,34,M-only,C222,2,21,37,21.62,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,35,M-only,C225,1,22,28,22.47,0,0,1,0,14,14,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,37,M-only,C221,2,23,57,23.95,0,0,0,0,15,15,29,29,30,29.33,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,36,M-only,C223,2,23,25,23.42,0,0,0,0,15,15,29,29,29,29,NA,1,All H,1,0.066666667,NA,0.07,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,72,72,0,72,72,0
20180702,4,39,M-only,C267,2,20,39,20.65,2,0,0,0,13,13,29,29,29,29,NA,1,All H,1,0.076923077,NA,0.08,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,52,52,0,52,52,0
20180702,4,40,M-only,C257,2,21,12,21.2,0,0,0,0,15,15,29,29,29,29,NA,1,All H,1,0.066666667,NA,0.07,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,99,99,0,99,99,0
20180609,5,1,M-only,C36,2,16,45,16.75,0,0,3,0,12,12,31,31,30,30.67,NA,10,All H,10,0.833333333,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,5,5,M-only,C50,2,18,22,18.37,2,0,6,0,7,7,32,32,32,32,NA,4,All H,4,0.571428571,NA,0.57,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,53,91,NA,NA,NA,NA,NA,53,53,76,53,53,76
20180611,5,6,M-only,C41,1,18,58,18.97,1,0,2,0,12,12,32,32,31,31.67,NA,12,All H,12,1,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20,20,23,38,39,52,NA,29.71428571,23,36,29.71428571,29.71428571,36
20180615,5,10,M-only,C85,4,19,32,19.53,1,0,2,0,6,6,33,34,33,33.33,NA,6,All H,6,1,NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,38,46,NA,NA,NA,NA,NA,36.66666667,38,20,36.66666667,38,20
20180615,5,11,M-only,C91,1,20,7,20.12,2,0,2,0,11,11,32,32,32,32,NA,11,All H,11,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,33,NA,NA,NA,NA,NA,NA,19,19,28,19,26,28
20180615,5,12,M-only,C88,3,21,26,21.43,6,0,2,0,7,7,33,34,34,33.67,NA,5,All H,5,0.714285714,NA,0.71,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,40,69,NA,NA,NA,NA,NA,39,40,61,39,40,61
20180617,5,16,M-only,C118,2,17,59,17.98,5,0,5,0,5,5,31,32,31,31.33,NA,4,All H,4,0.8,NA,0.8,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,71,NA,NA,NA,NA,NA,NA,57.5,57.5,27,57.5,64.25,27
20180617,5,17,M-only,C113,2,18,51,18.85,0,0,3,0,12,12,32,32,31,31.67,NA,4,All H,4,0.333333333,NA,0.33,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,64,NA,NA,NA,NA,NA,NA,37,37,54,37,50.5,54
20180624,5,23,M-only,C171,1,14,51,14.85,0,0,0,0,15,15,29,29,30,29.33,NA,10,All H,10,0.666666667,NA,0.67,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,51,52,57,59,NA,NA,NA,53.6,52,10,53.6,53.6,10
20180624,5,24,M-only,C177,1,16,29,16.48,0,0,0,0,15,15,29,29,29,29,NA,1,All H,1,0.066666667,NA,0.07,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,201,201,0,201,201,0
20180624,5,26,M-only,C175,2,17,54,17.9,4,0,1,0,10,10,31,30,31,30.67,NA,2,All H,2,0.2,NA,0.2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,129,NA,NA,NA,NA,NA,NA,85,85,88,85,107,88
20180624,5,25,M-only,C186,1,17,18,17.3,0,0,1,0,14,14,31,30,31,30.67,NA,3,All H,3,0.214285714,NA,0.21,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,202,NA,NA,NA,NA,NA,NA,150.5,150.5,103,150.5,176.25,103
20180624,5,27,M-only,C184,1,19,0,19,1,0,7,0,7,7,30,31,31,30.67,NA,1,All H,1,0.142857143,NA,0.14,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,149,149,0,149,149,0
20180624,5,28,M-only,C176,2,19,38,19.63,0,0,1,0,14,14,32,32,32,32,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180624,5,29,M-only,C190,2,17,15,17.25,0,0,7,0,8,8,31,31,31,31,NA,5,All H,5,0.625,NA,0.63,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,79,84,NA,NA,NA,NA,NA,72.66666667,79,29,72.66666667,79,29
20180625,5,30,M-only,C191,2,18,43,18.72,1,0,3,0,11,11,31,32,31,31.33,NA,5,All H,5,0.454545455,NA,0.45,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,53,NA,NA,NA,NA,NA,NA,38,38,30,38,45.5,30
20180628,5,31,M-only,C219,3,17,18,17.3,0,0,6,0,9,9,32,32,31,31.67,NA,6,All H,6,0.666666667,NA,0.67,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,40,51,62,NA,NA,NA,NA,42.75,45.5,44,42.75,46.875,44
20180628,5,32,M-only,C218,1,18,7,18.12,6,0,1,0,8,8,31,31,32,31.33,NA,4,All H,4,0.5,NA,0.5,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,90,NA,NA,NA,NA,NA,NA,82,82,16,82,86,16
20180702,5,38,M-only,C242,2,17,54,17.9,6,0,4,0,5,5,30,31,31,30.67,NA,5,All H,5,1,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,105,162,189,NA,NA,NA,NA,139,133.5,89,139,150.5,89
20180703,5,41,M-only,C261,2,19,25,19.42,1,0,9,0,5,5,31,30,31,30.67,0,5,All H,5,1,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,45,53,111,NA,NA,NA,NA,59.25,49,83,59.25,56.125,83
20180703,5,42,M-only,C266,2,20,4,20.07,0,0,8,0,7,7,31,32,31,31.33,0,7,All H,7,1,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,38,48,62,NA,NA,NA,NA,44,43,34,44,46,34
20180610,4,2,T-only,C44,1,20,26,20.43,0,0,0,10,5,10,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
