Date,Age.day,Set,Stimulus,StimClass1,StimClass2,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,Con10,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC9,NC10,NC11,NC12,NC13,NC14,NC15,Notes
20170710,5,23,M-only,M-only,M-included,C254,2,15,27,15.45,3,0,2,0,10,10,32,32,33,32.33,NA,9,All H,9,0.9,NA,0.9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,48,52,68,70,84,95,127,170,NA,NA,NA,NA,NA,NA,NA
20170621,4,1,M+T,T-included,M-included,C95,5,19,26,19.43,0,0,0,10,5,10,30,30,30,30,3,3,All H,3,0.3,0.3,0.6,64,64,139,364,NA,NA,NA,NA,NA,NA,NA,67,87,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,2,M+T,T-included,M-included,C97,3,20,44,20.73,0,0,0,10,5,10,30,30,30,30,4,0,All H,4,0.4,0.4,0,150,150,291,331,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,3,M+T,T-included,M-included,C101,1,21,2,21.03,2,0,0,8,5,8,30,30,30,30,5,3,All H,5,0.625,0.63,0.6,67,67,68,112,140,NA,NA,NA,NA,NA,NA,75,181,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hatched, no latency data (con5)"
20170621,4,4,M+T,T-included,M-included,C102,1,22,44,22.73,1,0,0,8,6,8,30,30,30,30,4,3,All H,4,0.5,0.5,0.5,59,59,59,64,113,NA,NA,NA,NA,NA,NA,91,100,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,5,M+T,T-included,M-included,C96,2,23,45,23.75,1,0,0,9,5,9,30,30,30,30,6,4,All H,6,0.666666667,0.67,0.8,74,74,85,113,128,140,143,NA,NA,NA,NA,75,160,320,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,6,M+T,T-included,M-included,C138,1,19,6,19.1,0,0,0,10,5,10,29,30,NA,29.5,5,0,All H,5,0.5,0.5,0,105,105,167,167,188,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,7,M+T,T-included,M-included,C136,2,20,12,20.2,0,0,0,10,5,10,29,30,NA,29.5,7,0,All H,7,0.7,0.7,0,63,63,86,117,147,169,200,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,8,M+T,T-included,M-included,C142,2,20,52,20.87,0,0,0,8,7,8,30,30,30,30,4,1,All H,4,0.5,0.5,0.14,8,8,8,62,93,NA,NA,NA,NA,NA,NA,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,9,M+T,T-included,M-included,C133,1,21,50,21.83,0,0,0,9,6,9,30,30,30,30,3,1,All H,3,0.333333333,0.33,0.17,29,29,75,361,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,10,M+T,T-included,M-included,C156,1,19,4,19.07,0,0,0,10,5,10,30,30,30,30,8,2,All H,8,0.8,0.8,0.4,38,38,71,116,125,164,187,199,210,NA,NA,205,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,11,M+T,T-included,M-included,C152,1,19,47,19.78,0,0,2,8,5,8,30,30,30,30,8,5,All H,8,1,1,1,40,40,67,80,90,103,105,150,367,NA,NA,9,47,62,115,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,12,M+T,T-included,M-included,C150,1,20,50,20.83,0,0,1,9,5,9,30,30,30,30,1,0,All H,1,0.111111111,0.11,0,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,13,M+T,T-included,M-included,C147,3,22,19,22.32,0,1,0,9,5,9,30,30,30,30,1,0,All H,1,0.111111111,0.11,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,14,M+T,T-included,M-included,C170,3,18,52,18.87,0,0,0,10,5,10,29,29,29,29,1,0,All H,1,0.1,0.1,0,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,15,M+T,T-included,M-included,C171,2,20,39,20.65,0,0,0,10,5,10,30,30,30,30,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,16,M+T,T-included,M-included,C172,2,21,36,21.6,0,0,0,10,5,10,30,30,30,30,1,0,All H,1,0.1,0.1,0,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,17,M+T,T-included,M-included,C168,2,22,35,22.58,0,0,0,10,5,10,30,30,30,30,5,3,All H,5,0.5,0.5,0.6,54,54,64,84,84,106,NA,NA,NA,NA,NA,90,90,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170706,4,18,M+T,T-included,M-included,C217,1,19,24,19.4,0,0,0,10,5,10,30,30,30,30,7,3,All H,7,0.7,0.7,0.6,28,28,43,57,67,85,91,103,NA,NA,NA,61,110,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170706,4,19,M+T,T-included,M-included,C212,1,19,51,19.85,0,0,0,9,6,9,30,30,30,30,8,2,All H,8,0.888888889,0.89,0.33,37,37,40,40,52,55,58,70,110,NA,NA,58,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
